t GISSback
1970 -0.01051
1971 -0.0101480000000009
1972 -0.00980300000000156
1973 -0.0126640000000009
1974 -0.00425600000000159
1975 -0.0247360000000008
1976 -0.0187650000000019
1977 -0.0157769999999999
1978 -0.0231880000000011
1979 -0.0245429999999978
1980 -0.0241799999999976
1981 -0.0138759999999998
1982 -0.0248540000000013
1983 -0.0391939999999984
1984 -0.0286389999999983
1985 -0.021920999999999
1986 -0.0282109999999989
1987 -0.0308209999999995
1988 -0.0322700000000005
1989 -0.0298069999999981
1990 -0.0328589999999984
1991 -0.00898799999999866
1992 -0.0606160000000031
1993 -0.0401629999999997
1994 -0.0341509999999978
1995 -0.0332499999999989
1996 -0.0358689999999982
1997 -0.0380409999999998
1998 -0.0372809999999966
1999 -0.0410019999999989
2000 -0.044080000000001
2001 -0.049863000000002
2002 -0.0499599999999987
2003 -0.0565080000000009
2004 -0.0591679999999997
2005 -0.0640540000000023
2006 -0.0680230000000002
2007 -0.0731769999999976
2008 -0.075372999999999
2009 -0.0853420000000007
2010 -0.0945189999999982
2011 -0.103113999999998
2012 -0.113643
