t GISSvolc
1970 -0.00363899999999973
1971 -0.00195300000000032
1972 -0.000567000000000206
1973 -0.00242700000000085
1974 0.00697899999999763
1975 -0.0124919999999982
1976 -0.0055170000000011
1977 -0.00152599999999836
1978 -0.00792400000000271
1979 -0.00825899999999891
1980 -0.00707299999999833
1981 0.00440800000000152
1982 -0.00545299999999926
1983 -0.0187010000000001
1984 -0.0072189999999992
1985 0.000712000000000046
1986 -0.00447099999999878
1987 -0.00599400000000117
1988 -0.00650100000000009
1989 -0.0028449999999971
1990 -0.00471800000000044
1991 0.0199590000000001
1992 -0.0309890000000017
1993 -0.0101469999999999
1994 -0.00367999999999924
1995 -0.0021400000000007
1996 -0.00419099999999872
1997 -0.00594500000000053
1998 -0.00483299999999787
1999 -0.00823600000000013
2000 -0.011020000000002
2001 -0.0165250000000015
2002 -0.0163609999999998
2003 -0.0226530000000018
2004 -0.0250659999999989
2005 -0.029712
2006 -0.033449000000001
2007 -0.038376999999997
2008 -0.0403500000000001
2009 -0.0501000000000005
2010 -0.0590669999999989
2011 -0.0674530000000004
2012 -0.0770310000000016
