Figure 2 results
Year
Anomaly (\So\C) (w.r.t. 1980-1999)
Year  CMIP5EnsMeanLBnd CMIP5EnsMeanUBnd  GISTEMP_LOTI  Cowtan_&_Way_(2013) CMIP5_Ensemble_(5-95%) EnsMeanENSOcorr EnsMeanENSOcorrRespSum ENSOcorr RespSum CMIP5_LB_Resp CMIP5_UB_Resp 
1989    -0.1244871378       0.24774030      -0.0505         -0.05625002             0.06162658     -0.01990517           -0.015905172 -0.081531756   0.004   -0.12048714    0.25174030
1990    -0.0722321651       0.29279227       0.0995          0.11293198             0.11028005      0.11570037            0.119700373  0.005420322   0.004   -0.06823217    0.29679227
1991    -0.0905027853       0.22431433       0.0895          0.10084098             0.06690577      0.06077374            0.064773743 -0.006132030   0.004   -0.08650279    0.22831433
1992    -0.4025550788       0.07612218      -0.1005         -0.11706822            -0.16321645     -0.09095752           -0.073957519  0.072258930   0.017   -0.38555508    0.09312218
1993    -0.3186784523       0.13073584      -0.0805         -0.06825002            -0.09397131     -0.07493571           -0.008935711  0.019035594   0.066   -0.25267845    0.19673584
1994    -0.2289605916       0.17805403      -0.0005          0.02084098            -0.02545328     -0.03687155            0.041128455 -0.011418262   0.078   -0.15096059    0.25605403
1995    -0.1318966441       0.23419783       0.1395          0.14065898             0.05115059      0.08008821            0.156088205  0.028937610   0.076   -0.05589664    0.31019783
1996    -0.0940481545       0.31627734       0.0395          0.04265898             0.11111459      0.06346630            0.134466300 -0.047648295   0.071   -0.02304815    0.38727734
1997    -0.0481192337       0.38148531       0.1695          0.21093198             0.16668304      0.12334109            0.187341090 -0.043341949   0.064    0.01588077    0.44548531
1998    -0.0001469425       0.42872718       0.3295          0.34911398             0.21429012      0.32494515            0.382945146  0.110655029   0.058    0.05785306    0.48672718
1999     0.0549187755       0.45094553       0.1195          0.09474998             0.25293215      0.17152933            0.220529328 -0.081402823   0.049    0.10391878    0.49994553
2000     0.0658166701       0.53485825       0.1195          0.12556798             0.30033746      0.21589183            0.253891832 -0.084445630   0.038    0.10381667    0.57285825
2001     0.1050709912       0.57284253       0.2395          0.27684098             0.33895676      0.28517128            0.309171280 -0.053785482   0.024    0.12907099    0.59684253
2002     0.1273744741       0.62090443       0.3295          0.32411398             0.37413945      0.34343289            0.355432887 -0.030706564   0.012    0.13937447    0.63290443
2003     0.1555927951       0.62429082       0.3195          0.32302298             0.38994181      0.41735801            0.417358013  0.027416207   0.000    0.15559280    0.62429082
2004     0.1719174793       0.65216580       0.2295          0.24738598             0.41204164      0.39252642            0.379526416 -0.019515223  -0.013    0.15891748    0.63916580
2005     0.1558105385       0.71379010       0.3695          0.39647698             0.43480032      0.44457856            0.420578558  0.009778241  -0.024    0.13181054    0.68979010
2006     0.1676097246       0.72460971       0.3095          0.35329498             0.44610972      0.39449030            0.358490301 -0.051619416  -0.036    0.13160972    0.68860971
2007     0.1921406458       0.73355805       0.3395          0.34747698             0.46284935      0.46563945            0.416639450  0.002790099  -0.049    0.14314065    0.68455805
2008     0.1829358838       0.75980779       0.1995          0.26465898             0.47137184      0.37890661            0.316906607 -0.092465232  -0.062    0.12093588    0.69780779
2009     0.2017628892       0.75862892       0.3095          0.36320498             0.48019591      0.41802981            0.346029812 -0.062166094  -0.072    0.12976289    0.68662892
2010     0.2316557280       0.78525717       0.3795          0.43674998             0.50845645      0.54969422            0.468694222  0.041237771  -0.081    0.15065573    0.70425717
2011     0.2524033912       0.80875666       0.2595          0.30374998             0.53058003      0.42279762            0.336797615 -0.107782413  -0.086    0.16640339    0.72275666
2012     0.2722613575       0.83548417       0.2895          0.33984098             0.55387276      0.49193875            0.397938746 -0.061934016  -0.094    0.17826136    0.74148417
2013     0.3115238370       0.87724584       0.3195          0.35754998             0.59438484      0.56682423            0.464824228 -0.027560611  -0.102    0.20952384    0.77524584
